# CSV-File created with merge-csv.com,,,,,,,,
# -----------------------------------------------------------,,,,,,,,
,,,,,,,,
Unit,Rank,Title,Channel,Playlist ID,Sentiment Score,Like/View Ratio,Recency (days),Overall Score
Current Electricity,1,Current Electricity,Eduniti - Physics by Mohit Goenka_IITKGP,PLjvx7xqdpePJJNDrvHyZEdwu2uGohWaCU,0.225478042,0.041656765,1.865753425,-0.086829645
Current Electricity,2,JEE 2023: Current Electricity | Class 12 | Unacademy JEE | Jayant Nagda,Unacademy JEE,PLbu_fGT0MPssVWyRKnWhtgKdOzrV5E23G,0.162631579,0.034211225,1.701369863,-0.096110321
Current Electricity,3,Current Electricity [Path Finder 12th] - Playlist | JEE 2022 | JEE Physics | Shreyas Sir | Vedantu JEE Enthuse English,Vedantu JEE English,PL24P3-cdGKKs3B6gqeMv-M2vXmnveZ6BI,0.214037184,0.03073322,2.761643836,-0.185884759
Current Electricity,4,JEE | Current Electricity - Playlist | Class 12 | Unacademy JEE | JEE LIVE DAILY 3.0 | IIT JEE Physics | Jayant Sir,Unacademy JEE,PLbu_fGT0MPsux0L6EqJbf9LLgW_ZFOrGE,0.185846692,0.033911639,2.75890411,-0.193888249
Current Electricity,5,12 chap 3 I Current Electricity JEE/NEET,Physics Wallah - Alakh Pandey,PLF_7kfnwLFCFZ4OVmzjBSqMIAzDK_6b8f,0.180845206,0.026782692,4.767123288,-0.400025161
Electromagnetic Induction and Alternating Currents,1,Electromagnetic Induction,Eduniti - Physics by Mohit Goenka_IITKGP,PLjvx7xqdpePKLweoAM4zkoZs02Ss6YKMR,0.217354938,0.039291701,1.865753425,-0.090855264
Electromagnetic Induction and Alternating Currents,2,JEE | ElectroMagnetic Induction - Playlist | Class 12 | Unacademy JEE | JEE LIVE DAILY 3.0 | IIT JEE Physics | Jayant Nagda,Unacademy JEE,PLbu_fGT0MPss8qMczR0pMtqkBZFEP41uB,0.21311985,0.036227264,2.6,-0.16729442
Electromagnetic Induction and Alternating Currents,3,Jee Advanced Electromagnetic Induction,Physics For IIT JEE by Rohit Mishra,PLxb0SzPSaqZ72yyiW7WWCjF8uvTsVxsH9,0.259260714,0.019071504,3.504109589,-0.250133957
Electromagnetic Induction and Alternating Currents,4,"Advanced Problems : Magnetism , Electromagnetic induction &amp; Alternating Current for IIT JEE Advanced &amp; Olympiads",Physics with Akash Goyal (PWAG),PLb2lQ33Kj042Z0Uq4MM3XFR4EXTG5qok1,0.306306964,0.044461065,4.928767123,-0.363438742
Electromagnetic Induction and Alternating Currents,5,12 chap 6 : ElectroMagnetic Induction EMI JEE/NEET,Physics Wallah - Alakh Pandey,PLF_7kfnwLFCE6mi_so22MJJ988uaHBJaQ,0.193687007,0.026083643,4.57260274,-0.376428
Electromagnetic Waves,1,All About Electromagnetic Waves | Crack JEE Physics | How to Prepare for JEE Main Physics | Class 12 Physics | Chapter 8 | Physics Lectures,Aakash BYJU'S JEE,PLDnXxcwgchDN2eX-EpaAGVunWwIy7emb3,0.10054375,0.031859007,1.775342466,-0.126414431
Electromagnetic Waves,2,Electromagnetic waves class 12- Physics wallah,Kumar ꪜ,PLrkrDp-k2CDQXPDlxMuwf8xcY2BAPVH9j,0.213047857,0.032172786,3.304109589,-0.239757816
Electromagnetic Waves,3,Electromagnetic Waves 2019 JEE Main solutions,JEE NEET Physics Kota,PLk5kuyX3xzdYk-tFyOfAT2qhTF_glAuy1,0.297490909,0.025217391,4.126027397,-0.295872226
